X,Y,SUBST_ID,SUB_NAME,SYS_NAME,SUB_TYPE,SUBSTATION_VOLTAGE,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,NOTE,OBJECTID
-117.584092699523211,34.120869294753419,796,Archline,Etiwanda 220/66 System,D -- Distribution,66/12 kV,12.6,4.211,16.811,100.8,17.62,83.04,Interconnection studies in this area have identified adequate deliverability.,1
-117.251703004454328,34.150482000520611,798,Del Rosa,San Bernardino 220/66 System,D -- Distribution,66/12 kV,8.781,6.953,15.733,84.1,12.29,96.06,Interconnection studies in this area have identified adequate deliverability.,2
-117.408963802857613,34.1353635556315,800,Alder,Etiwanda 220/66 System,D -- Distribution,66/12 kV,31.927,5.45,37.377,110,35.6,89.63,Interconnection studies in this area have identified adequate deliverability.,3
-114.17321777821121,34.294236646418106,1847,Whipple,Parker 161/66 System,D -- Distribution,66/33 kV,0,0,0,6.2,3.5,11.76,Interconnection studies in this area have identified inadequate deliverability.,4
-117.592685222658062,34.083954346491346,790,Cucamonga,Padua 220/66 System,D -- Distribution,66/12 kV,12.216,3.043,15.258,120.8,16.1,101.35,Interconnection studies in this area have identified adequate deliverability.,5
-114.416726539406838,34.479079081882418,1851,Landing,Parker 161/66 System,D -- Distribution,66/16 kV,0.652,0,0.652,6.1,8.26,9.79,Interconnection studies in this area have identified inadequate deliverability.,6
-117.53755711295986,33.844774691260419,806,Chase,Mira Loma 220/66 System,D -- Distribution,66/12 kV,18.131,0.163,18.294,112,17.01,92.95,Interconnection studies in this area have identified adequate deliverability.,7
-117.811695866043721,34.004007171834509,405,Diamond Bar,Walnut 220/66 System,D -- Distribution,66/12 kV,6.929,0.092,7.021,44.1,13.77,38.72,Interconnection studies in this area have identified adequate deliverability.,8
-117.694538001710512,33.964683998684926,817,Soquel,Chino 220/66 System,D -- Distribution,66/12 kV,12.211,3.926,16.136,56,16.44,46.79,Interconnection studies in this area have identified adequate deliverability.,9
-118.24764500445761,33.834820999565366,823,Alon,Lighthipe 220/66 System,D -- Distribution,66/12 kV,7.411,1.178,8.589,30.2,23.11,41.76,Interconnection studies in this area have identified adequate deliverability.,10
-118.14988916293828,33.781187371027116,825,Belmont,Alamitos 220/66 System,D -- Distribution,12/4.16 kV,0.258,0,0.258,8.3,3.34,8.88,Interconnection studies in this area have identified adequate deliverability.,11
-118.170702396842699,33.77254515539591,826,Bixby,Alamitos 220/66 System,D -- Distribution,12/4.16 kV,0.127,0.005,0.132,5,2.93,7.29,Interconnection studies in this area have identified adequate deliverability.,12
-118.172460000103385,33.792939944254528,827,Bowl,Hinson 220/66 System,D -- Distribution,66/12 kV,1.267,2.33,3.597,22,5.96,30.76,Interconnection studies in this area have identified adequate deliverability.,13
-118.188489262250428,33.920723418705215,829,Brewster,Lighthipe 220/66 System,D -- Distribution,16/4.16 kV,0.477,0,0.477,7.9,6.27,8.5,Interconnection studies in this area have identified adequate deliverability.,14
-118.217074296886537,33.86392527861333,830,Carson,Lighthipe 220/66 System,D -- Distribution,66/16 kV,6.552,0.262,6.814,62.9,5.52,63.73,Interconnection studies in this area have identified adequate deliverability.,15
-118.217110883471449,33.819235847241117,831,Cameron,Hinson 220/66 System,D -- Distribution,66/12 kV,3.604,0.393,3.997,28,12.52,52.49,Interconnection studies in this area have identified adequate deliverability.,16
-118.193685148396511,33.963651581334084,833,Cudahy,Laguna Bell Ab 220/66 System,D -- Distribution,66/16 kV,8.053,0.008,8.061,84,6.47,90.57,Interconnection studies in this area have identified adequate deliverability.,17
-118.226611508137125,33.996126539618267,839,Fruitland,Laguna Bell De 220/66 System,D -- Distribution,66/4.16 kV,1.653,13.734,15.386,3.3,1.96,8.94,Interconnection studies in this area have identified adequate deliverability.,18
-118.264699827350441,33.894644489528346,841,Fremont,Lighthipe 220/66 System,D -- Distribution,16/4.16 kV,6.522,3.309,9.831,8.7,6.41,8.44,Interconnection studies in this area have identified adequate deliverability.,19
-118.206527026218737,33.765572166223976,843,Pico,Hinson 220/66 System,D -- Distribution,66/12 kV,9.692,11.963,21.655,45.9,21.71,77.24,Interconnection studies in this area have identified adequate deliverability.,20
-118.120564124917195,33.883792822775959,844,Cornuta,Del Amo 220/66 System,D -- Distribution,66/12 kV,1.898,5.699,7.597,55.1,8.31,51.42,Interconnection studies in this area have identified adequate deliverability.,21
